 ;Iris-setosa;Iris-setosa1;Iris-setosa2;Iris-setosa3;Iris-setosa4;Iris-setosa5;Iris-setosa6;Iris-setosa7;Iris-setosa8;Iris-setosa9;Iris-setosa10;Iris-setosa11;Iris-setosa12;Iris-setosa13;Iris-setosa14;Iris-setosa15;Iris-setosa16;Iris-setosa17;Iris-setosa18;Iris-setosa19;Iris-setosa20;Iris-setosa21;Iris-setosa22;Iris-setosa23;Iris-setosa24;Iris-setosa25;Iris-setosa26;Iris-setosa27;Iris-setosa28;Iris-setosa29;Iris-setosa30;Iris-setosa31;Iris-setosa32;Iris-setosa33;Iris-setosa34;Iris-setosa35;Iris-setosa36;Iris-setosa37;Iris-setosa38;Iris-setosa39;Iris-setosa40;Iris-setosa41;Iris-setosa42;Iris-setosa43;Iris-setosa44;Iris-setosa45;Iris-setosa46;Iris-setosa47;Iris-setosa48;Iris-setosa49;Iris-versicolor;Iris-versicolor51;Iris-versicolor52;Iris-versicolor53;Iris-versicolor54;Iris-versicolor55;Iris-versicolor56;Iris-versicolor57;Iris-versicolor58;Iris-versicolor59;Iris-versicolor60;Iris-versicolor61;Iris-versicolor62;Iris-versicolor63;Iris-versicolor64;Iris-versicolor65;Iris-versicolor66;Iris-versicolor67;Iris-versicolor68;Iris-versicolor69;Iris-versicolor70;Iris-versicolor71;Iris-versicolor72;Iris-versicolor73;Iris-versicolor74;Iris-versicolor75;Iris-versicolor76;Iris-versicolor77;Iris-versicolor78;Iris-versicolor79;Iris-versicolor80;Iris-versicolor81;Iris-versicolor82;Iris-versicolor83;Iris-versicolor84;Iris-versicolor85;Iris-versicolor86;Iris-versicolor87;Iris-versicolor88;Iris-versicolor89;Iris-versicolor90;Iris-versicolor91;Iris-versicolor92;Iris-versicolor93;Iris-versicolor94;Iris-versicolor95;Iris-versicolor96;Iris-versicolor97;Iris-versicolor98;Iris-versicolor99;Iris-virginica;Iris-virginica101;Iris-virginica102;Iris-virginica103;Iris-virginica104;Iris-virginica105;Iris-virginica106;Iris-virginica107;Iris-virginica108;Iris-virginica109;Iris-virginica110;Iris-virginica111;Iris-virginica112;Iris-virginica113;Iris-virginica114;Iris-virginica115;Iris-virginica116;Iris-virginica117;Iris-virginica118;Iris-virginica119;Iris-virginica120;Iris-virginica121;Iris-virginica122;Iris-virginica123;Iris-virginica124;Iris-virginica125;Iris-virginica126;Iris-virginica127;Iris-virginica128;Iris-virginica129;Iris-virginica130;Iris-virginica131;Iris-virginica132;Iris-virginica133;Iris-virginica134;Iris-virginica135;Iris-virginica136;Iris-virginica137;Iris-virginica138;Iris-virginica139;Iris-virginica140;Iris-virginica141;Iris-virginica142;Iris-virginica143;Iris-virginica144;Iris-virginica145;Iris-virginica146;Iris-virginica147;Iris-virginica148;Iris-virginica149
Iris-setosa;1;33;3;6;2;10;3;3;7;7;4;4;34;35;32;13;6;2;8;6;5;6;13;9;7;35;6;2;2;6;7;5;9;8;7;4;0;7;32;3;1;13;3;7;11;34;6;4;4;3;49;48;53;32;53;50;50;32;50;46;56;74;23;52;40;47;77;37;58;45;54;27;59;51;47;75;54;55;51;32;45;36;44;60;77;47;51;54;71;30;50;77;28;33;48;71;46;47;29;46;32;63;97;65;97;104;57;72;71;72;41;65;93;18;67;64;90;77;86;34;68;43;61;60;65;26;58;84;69;91;72;54;70;58;64;101;66;62;83;64;69;63;63;70;69;92;35;71;63;86
Iris-setosa;6;30;4;1;7;13;6;4;4;0;7;5;29;32;31;16;13;7;11;9;6;9;20;8;8;30;7;5;5;3;2;6;10;13;0;5;7;0;31;4;8;12;4;10;14;31;9;3;7;4;46;45;48;31;48;45;49;25;45;41;49;69;20;47;35;42;72;30;53;40;51;26;54;46;42;70;49;54;46;25;40;29;39;55;72;48;46;49;66;29;45;72;27;26;43;66;41;42;28;41;35;58;92;60;92;99;52;67;66;75;38;60;88;17;62;61;85;80;81;33;65;38;56;55;64;27;53;79;64;86;67;57;65;53;59;96;67;57;78;59;64;58;58;67;68;87;34;66;64;81
Iris-setosa;33;1;29;30;34;42;33;33;27;31;36;34;2;3;2;45;38;34;40;38;35;38;45;37;37;3;36;34;32;32;31;35;41;40;31;30;32;31;0;33;33;21;29;39;43;2;38;30;36;31;75;74;77;40;71;68;78;42;70;62;24;42;29;72;60;71;45;53;64;57;80;45;71;69;67;43;72;23;71;46;55;46;60;76;45;77;75;62;39;42;64;45;42;41;64;39;66;67;41;64;60;79;65;85;65;72;69;92;83;104;67;81;61;30;85;90;58;109;100;40;94;61;79;76;93;52;76;52;87;59;90;86;88;76;78;69;96;86;51;88;93;87;79;96;97;60;47;39;93;54
Iris-setosa;2;32;4;3;3;9;2;0;6;4;3;1;33;36;33;12;9;3;7;5;2;5;16;6;4;32;3;1;1;3;4;2;8;9;4;5;3;4;33;0;4;14;4;6;10;33;5;3;3;2;46;45;50;33;50;47;47;29;47;43;53;71;24;49;37;44;74;34;55;42;51;28;56;48;44;72;51;56;48;29;42;33;41;57;74;44;48;51;68;31;47;74;29;30;45;68;43;44;30;43;33;60;94;62;94;101;54;69;68;71;38;62;90;19;64;61;87;76;83;35;65;40;58;57;62;27;55;81;66;88;69;53;67;55;61;98;63;59;80;61;66;60;60;67;66;89;36;68;60;83
Iris-setosa;2;34;4;7;3;9;2;4;8;8;5;5;35;36;33;12;5;1;7;5;6;5;14;8;8;36;5;3;3;7;8;4;10;9;8;5;1;8;33;4;0;12;4;6;10;33;7;5;5;4;48;47;52;31;52;49;49;33;49;45;57;73;24;51;39;46;76;38;57;44;53;26;58;50;46;74;53;54;50;33;44;37;43;59;76;46;50;53;70;29;49;76;27;34;47;70;45;46;28;45;31;62;96;64;96;103;56;71;70;71;42;64;92;19;66;63;89;76;85;33;67;44;62;59;64;25;57;83;68;90;71;55;69;57;63;100;65;61;82;63;68;62;62;69;68;91;34;72;62;85
Iris-setosa;14;22;10;11;15;21;12;14;8;12;17;15;23;24;21;24;17;13;19;17;16;17;26;16;18;24;15;15;13;13;12;14;22;21;12;11;13;12;21;14;12;0;10;18;22;21;19;11;17;12;54;53;56;19;50;47;57;23;49;41;45;61;12;51;39;50;64;34;45;36;59;24;50;48;46;62;51;42;50;27;34;27;39;55;64;56;54;41;58;21;43;64;21;22;43;58;45;46;20;43;39;58;84;64;84;91;48;71;62;83;48;60;80;11;64;69;77;88;79;21;73;42;60;55;72;31;55;71;66;78;69;67;67;55;57;88;75;65;70;67;72;66;58;75;76;79;26;60;72;73
Iris-setosa;4;30;0;3;5;13;4;4;4;4;7;5;31;32;29;16;9;5;11;9;6;9;16;8;8;32;7;5;3;3;4;6;12;11;4;1;3;4;29;4;4;10;0;10;14;31;9;1;7;2;46;45;50;29;50;47;49;29;47;43;53;71;20;49;37;44;74;34;55;42;51;24;56;48;44;72;51;52;48;29;42;33;41;57;74;48;48;51;68;27;47;74;25;30;45;68;43;44;26;43;31;60;94;62;94;101;54;69;68;75;38;62;90;15;64;61;87;80;83;31;65;40;58;57;64;23;55;81;66;88;69;57;67;55;61;98;67;59;80;61;66;60;60;67;68;89;32;68;64;83
Iris-setosa;6;38;10;9;7;7;6;6;12;10;7;5;39;42;39;12;9;5;7;7;6;5;20;4;8;36;3;5;7;7;8;4;12;13;10;11;7;10;39;6;6;18;10;0;8;37;7;9;7;8;42;41;46;31;46;43;43;33;43;39;57;67;30;45;33;40;70;38;51;38;47;26;52;44;40;68;47;54;44;33;38;37;37;53;70;40;44;47;64;29;43;70;27;34;41;64;39;40;28;39;31;56;90;58;90;97;50;65;64;65;42;58;86;25;60;57;83;70;79;33;61;44;62;53;58;25;51;77;62;84;65;55;63;51;57;94;59;55;76;57;62;56;56;63;62;85;34;72;56;79
Iris-setosa;10;42;14;13;9;3;10;10;16;14;7;9;43;46;43;10;7;9;3;5;8;5;22;8;6;40;7;9;11;11;12;8;10;11;14;15;11;14;43;10;10;22;14;8;0;41;5;13;7;12;44;43;48;39;48;45;45;31;45;41;55;69;34;47;35;42;72;36;53;40;49;34;54;46;42;70;49;62;46;31;40;35;39;55;72;42;46;49;66;37;45;72;35;32;43;66;41;42;36;41;39;58;92;60;92;99;52;67;66;65;40;60;88;29;62;59;85;66;81;41;63;42;60;55;60;33;53;79;64;86;67;47;65;53;59;96;61;57;78;59;64;58;58;65;64;87;42;70;58;81
Iris-setosa;33;1;31;30;34;40;31;33;27;31;36;34;2;5;4;43;38;32;38;36;35;36;47;35;37;3;34;34;32;32;31;33;41;40;31;32;34;31;2;33;33;21;31;37;41;0;38;30;36;31;73;72;75;40;69;66;76;42;68;60;24;40;31;70;58;69;43;53;62;55;78;45;69;67;65;41;70;23;69;46;53;46;58;74;43;75;73;60;37;42;62;43;42;41;62;37;64;65;41;62;60;77;63;83;63;70;67;90;81;102;67;79;59;32;83;88;56;107;98;40;92;61;79;74;91;52;74;50;85;57;88;86;86;74;76;67;94;84;49;86;91;85;77;94;95;58;47;39;91;52
Iris-setosa;5;37;9;8;4;4;7;5;11;9;2;4;38;41;38;9;6;6;2;2;5;4;17;9;7;35;6;4;6;6;7;7;5;6;9;10;6;9;38;5;7;19;9;7;5;38;0;8;2;7;49;48;53;38;53;50;50;32;50;46;56;74;29;52;40;47;77;37;58;45;54;33;59;51;47;75;54;61;51;32;45;36;44;60;77;47;51;54;71;36;50;77;34;33;48;71;46;47;35;46;38;63;97;65;97;104;57;72;71;70;41;65;93;24;67;64;90;71;86;40;68;43;61;60;65;32;58;84;69;91;72;48;70;58;64;101;66;62;83;64;69;63;63;70;69;92;41;71;63;86
Iris-setosa;3;29;1;2;4;12;3;3;3;3;6;4;30;33;30;15;10;4;10;8;5;8;17;7;7;31;6;4;2;2;3;5;11;10;3;2;4;3;30;3;5;11;1;9;13;30;8;0;6;1;45;44;49;30;49;46;48;28;46;42;52;70;21;48;36;43;73;33;54;41;50;25;55;47;43;71;50;53;47;28;41;32;40;56;73;47;47;50;67;28;46;73;26;29;44;67;42;43;27;42;32;59;93;61;93;100;53;68;67;74;37;61;89;16;63;60;86;79;82;32;64;39;57;56;63;24;54;80;65;87;68;56;66;54;60;97;66;58;79;60;65;59;59;66;67;88;33;67;63;82
Iris-setosa;3;35;7;6;2;6;5;3;9;7;0;4;36;39;36;9;6;4;4;2;5;2;15;9;7;35;6;2;4;6;7;5;5;6;7;8;4;7;36;3;5;17;7;7;7;36;2;6;0;5;49;48;53;36;53;50;50;32;50;46;56;74;27;52;40;47;77;37;58;45;54;31;59;51;47;75;54;59;51;32;45;36;44;60;77;47;51;54;71;34;50;77;32;33;48;71;46;47;33;46;36;63;97;65;97;104;57;72;71;70;41;65;93;22;67;64;90;73;86;38;68;43;61;60;65;30;58;84;69;91;72;50;70;58;64;101;66;62;83;64;69;63;63;70;69;92;39;71;63;86
Iris-setosa;2;30;2;3;3;11;2;2;4;4;5;3;31;34;31;14;9;3;9;7;4;7;16;6;6;32;5;3;1;3;4;4;10;9;4;3;3;4;31;2;4;12;2;8;12;31;7;1;5;0;46;45;50;31;50;47;47;29;47;43;53;71;22;49;37;44;74;34;55;42;51;26;56;48;44;72;51;54;48;29;42;33;41;57;74;46;48;51;68;29;47;74;27;30;45;68;43;44;28;43;31;60;94;62;94;101;54;69;68;73;38;62;90;17;64;61;87;78;83;33;65;40;58;57;62;25;55;81;66;88;69;55;67;55;61;98;65;59;80;61;66;60;60;67;66;89;34;68;62;83
Iris-versicolor;48;74;46;45;49;47;46;46;48;46;49;45;75;78;75;54;51;47;47;49;44;47;62;40;42;72;43;47;47;43;44;44;54;55;46;47;49;46;75;46;48;54;46;42;44;73;49;45;49;46;0;3;4;53;6;7;3;35;5;13;55;35;66;3;15;4;32;24;13;18;5;48;10;6;8;32;5;74;6;31;20;31;15;11;32;6;2;13;36;51;11;30;51;36;11;36;9;8;54;11;53;14;48;16;48;55;12;23;22;29;16;16;44;61;18;15;41;34;37;53;19;18;36;11;18;45;9;35;20;42;23;35;21;9;15;52;21;13;34;15;20;14;14;21;22;43;54;46;18;37
Iris-versicolor;47;73;45;44;48;46;45;45;47;45;48;44;74;77;74;53;50;46;46;48;43;46;61;39;41;71;42;46;46;42;43;43;53;54;45;46;48;45;74;45;47;53;45;41;43;72;48;44;48;45;3;0;5;52;5;6;4;34;6;12;54;32;65;6;14;3;29;23;10;17;6;47;11;9;7;31;8;71;3;30;19;30;14;12;29;3;3;12;35;50;10;31;50;35;10;35;8;7;53;10;50;15;49;17;49;56;9;24;23;30;19;17;45;60;19;16;42;35;38;50;20;21;39;12;19;42;10;36;21;43;24;38;22;10;18;53;22;14;35;16;21;15;15;22;23;44;51;49;19;38
Iris-versicolor;52;76;50;47;53;51;50;50;50;48;53;49;77;80;77;58;55;51;51;53;48;51;66;44;46;74;47;51;51;47;46;48;58;59;48;51;53;48;77;50;52;56;50;46;48;75;53;49;53;50;4;5;0;55;6;9;5;37;7;15;57;35;68;5;17;6;32;26;13;20;5;50;6;8;10;34;5;74;6;33;22;33;17;7;32;8;2;15;38;53;13;32;53;38;13;38;11;10;56;13;55;10;44;12;44;51;12;19;18;27;16;12;40;63;14;13;37;32;33;53;17;16;34;7;16;47;7;31;16;38;19;35;17;5;13;48;19;9;32;11;16;10;10;19;20;39;54;44;16;33
Iris-versicolor;33;41;29;30;34;38;31;33;27;31;36;34;42;39;38;41;34;32;38;36;35;34;27;31;37;43;32;34;32;32;31;31;41;40;31;28;32;31;40;33;31;19;29;31;39;40;38;30;36;31;53;52;55;0;49;46;56;42;48;40;64;60;13;50;38;49;63;53;44;39;58;5;49;49;45;61;50;25;49;46;37;46;40;54;63;55;53;40;57;2;44;63;4;41;42;59;44;45;5;42;24;57;83;63;83;90;47;70;61;82;67;59;79;14;63;68;76;87;78;4;72;61;79;54;71;16;54;70;65;77;68;86;66;54;56;87;74;64;69;66;71;65;57;74;75;78;9;79;71;72
Iris-versicolor;52;70;50;47;53;51;50;50;46;48;53;49;71;74;71;58;55;51;51;53;48;51;66;44;46;68;47;51;51;47;46;48;58;59;48;51;53;48;71;50;52;50;50;46;48;69;53;49;53;50;6;5;6;49;0;3;7;31;3;9;51;29;62;3;13;6;26;20;7;14;9;44;6;4;6;28;3;68;2;27;16;27;11;7;26;8;4;9;32;47;7;26;47;32;7;32;7;6;50;7;55;10;44;14;44;51;6;21;18;33;22;12;40;57;14;19;37;38;33;47;23;16;34;7;22;47;5;31;16;38;19;41;17;5;13;48;25;15;30;17;22;16;10;25;26;39;48;44;22;33
Iris-versicolor;49;67;47;44;50;48;47;47;43;45;50;46;68;71;68;55;52;48;48;50;45;48;63;41;43;65;44;48;48;44;43;45;55;56;45;48;50;45;68;47;49;47;47;43;45;66;50;46;50;47;7;6;9;46;3;0;10;28;2;8;48;30;59;4;10;5;27;17;8;11;12;41;9;3;3;27;4;69;3;24;13;24;8;10;27;9;7;6;29;44;4;27;44;29;4;29;4;3;47;4;56;13;47;17;47;54;7;24;21;36;21;15;43;54;17;22;40;41;36;48;26;15;33;10;25;48;8;34;19;41;22;40;20;8;14;51;28;18;33;20;25;19;13;28;29;42;49;43;25;36
Iris-versicolor;49;77;49;48;50;48;47;47;51;49;50;46;78;81;78;55;52;48;48;50;45;48;63;41;43;75;44;48;48;46;47;45;55;56;49;50;50;49;78;47;49;57;49;43;45;76;50;48;50;47;3;4;5;56;7;10;0;38;8;16;58;36;69;6;18;7;33;27;14;21;4;51;11;9;11;35;8;73;7;34;23;34;18;10;33;3;3;16;39;54;14;33;54;39;14;39;12;11;57;14;50;13;47;15;47;54;11;22;21;26;19;15;43;64;17;14;40;31;36;54;18;21;39;10;15;44;8;34;19;41;22;36;20;10;18;51;18;12;33;14;19;13;13;20;19;42;53;49;15;36
Iris-versicolor;31;41;29;26;32;34;31;29;25;25;32;28;40;43;42;41;38;32;32;34;27;34;45;29;25;39;30;30;30;26;25;31;35;38;25;30;32;25;42;29;33;23;29;33;31;42;32;28;32;29;35;34;37;42;31;28;38;0;30;22;24;44;31;32;20;31;47;11;28;17;40;45;31;29;27;45;32;65;31;4;15;4;20;36;47;37;35;24;41;42;24;47;42;1;24;41;26;27;41;24;60;39;67;45;67;74;29;52;43;64;27;41;63;30;45;50;60;69;60;44;54;21;39;36;53;52;36;54;47;61;50;46;48;36;38;71;56;46;53;48;53;47;39;56;57;62;47;41;53;56
Iris-versicolor;49;69;47;44;50;48;47;47;43;45;50;46;70;73;70;55;52;48;48;50;45;48;63;41;43;67;44;48;48;44;43;45;55;56;45;48;50;45;70;47;49;49;47;43;45;68;50;46;50;47;5;6;7;48;3;2;8;30;0;10;50;32;61;2;10;5;29;19;10;13;10;43;9;3;3;29;4;71;3;26;15;26;10;10;29;9;5;8;31;46;6;27;46;31;6;31;4;3;49;6;56;13;47;15;47;54;9;22;21;34;19;15;43;56;17;20;40;39;36;50;24;15;33;10;23;48;8;34;19;41;22;38;20;8;14;51;26;16;33;18;23;17;13;26;27;42;51;43;23;36
Iris-versicolor;45;61;43;40;46;44;43;43;39;41;46;42;62;65;62;51;48;44;44;46;41;44;59;37;39;59;40;44;44;40;39;41;51;52;41;44;46;41;62;43;45;41;43;39;41;60;46;42;46;43;13;12;15;40;9;8;16;22;10;0;42;28;53;10;6;9;31;15;12;5;18;37;13;11;7;29;10;61;9;18;7;18;2;14;31;15;13;10;27;38;8;31;38;23;4;29;6;7;41;4;50;17;51;23;51;58;11;30;25;42;29;19;47;48;23;28;44;47;40;40;32;23;41;14;31;42;14;38;25;45;28;48;26;14;18;55;34;24;37;26;31;25;17;34;35;46;41;49;31;40
Iris-versicolor;55;23;53;50;56;58;55;53;49;49;56;52;22;25;26;65;62;56;56;58;51;58;69;53;49;21;54;54;54;50;49;55;59;62;49;54;56;49;24;53;57;45;53;57;55;24;56;52;56;53;55;54;57;64;51;48;58;24;50;42;0;22;51;52;40;51;25;31;44;37;60;69;51;49;47;23;52;47;51;24;35;24;40;56;25;57;55;42;19;66;44;25;66;23;44;19;46;47;65;44;84;59;45;65;45;52;49;72;63;84;47;61;41;54;65;70;38;89;80;64;74;41;59;56;73;76;56;32;67;39;70;66;68;56;58;49;76;66;31;68;73;67;59;76;77;40;71;19;73;34
Iris-versicolor;73;41;71;68;74;72;71;71;67;69;74;70;42;45;44;79;76;72;72;74;69;72;87;65;67;39;68;72;72;68;67;69;79;80;69;72;74;69;42;71;73;61;71;67;69;40;74;70;74;71;35;32;35;60;29;30;36;44;32;28;22;0;71;32;34;31;3;39;22;29;38;65;29;33;29;3;32;39;29;44;29;40;30;34;3;35;33;24;3;62;28;5;64;43;26;3;28;29;65;28;76;37;23;43;23;30;27;50;41;62;51;39;19;72;43;48;16;67;58;56;52;45;63;34;51;68;34;10;45;17;48;70;46;34;38;27;54;44;9;46;51;45;37;54;55;18;63;23;51;12
Iris-versicolor;24;30;20;21;25;33;24;24;18;20;27;25;29;26;27;36;29;25;31;29;26;29;18;28;28;32;27;25;23;23;22;26;30;31;20;19;23;20;29;24;24;12;20;30;34;31;29;21;27;22;66;65;68;13;62;59;69;31;61;53;51;71;0;63;51;62;74;42;55;48;71;18;62;60;58;72;63;36;62;35;46;35;51;67;74;68;66;53;68;15;55;74;15;30;55;68;57;58;14;55;37;70;94;76;94;101;60;83;74;95;58;72;90;5;76;81;87;100;91;15;85;52;70;67;84;29;67;81;78;88;81;77;79;67;69;98;87;77;80;79;84;78;70;87;88;89;22;68;84;83
Iris-versicolor;51;71;49;46;52;50;49;49;45;47;52;48;72;75;72;57;54;50;50;52;47;50;65;43;45;69;46;50;50;46;45;47;57;58;47;50;52;47;72;49;51;51;49;45;47;70;52;48;52;49;3;6;5;50;3;4;6;32;2;10;52;32;63;0;12;5;29;21;10;15;8;45;7;3;5;29;2;71;3;28;17;28;12;8;29;9;3;10;33;48;8;27;48;33;8;33;6;5;51;8;56;11;45;13;45;52;9;20;19;32;19;13;41;58;15;18;38;37;34;50;22;15;33;8;21;48;6;32;17;39;20;38;18;6;12;49;24;14;31;16;21;15;11;24;25;40;51;43;21;34
Iris-versicolor;39;59;37;34;40;38;37;37;33;35;40;36;60;63;60;45;42;38;38;40;35;38;53;31;33;57;34;38;38;34;33;35;45;46;35;38;40;35;60;37;39;39;37;33;35;58;40;36;40;37;15;14;17;38;13;10;18;20;10;6;40;34;51;12;0;11;37;19;18;9;20;33;19;13;7;35;14;61;11;16;9;18;6;20;37;17;15;14;31;36;12;37;36;21;8;33;6;7;39;6;46;23;57;25;57;64;17;32;31;44;29;25;53;46;27;30;50;49;46;40;34;25;43;20;33;38;18;44;29;51;32;48;30;18;24;61;36;26;43;28;33;27;23;36;37;52;41;53;33;46
Iris-versicolor;46;70;44;41;47;45;44;44;44;42;47;43;71;74;71;52;49;45;45;47;42;45;60;38;40;68;41;45;45;41;40;42;52;53;42;45;47;42;71;44;46;50;44;40;42;69;47;43;47;44;4;3;6;49;6;5;7;31;5;9;51;31;62;5;11;0;30;20;11;14;9;44;12;8;4;28;7;70;4;27;16;27;11;13;30;6;4;9;32;47;7;30;47;32;7;32;5;4;50;7;51;16;50;18;50;57;10;25;24;33;20;18;46;57;20;19;43;38;39;49;23;20;38;13;22;43;11;37;22;44;25;39;23;11;17;54;25;15;36;17;22;16;16;25;26;45;50;48;22;39
Iris-versicolor;76;44;74;71;77;75;74;74;70;72;77;73;45;48;47;82;79;75;75;77;72;75;90;68;70;42;71;75;75;71;70;72;82;83;72;75;77;72;45;74;76;64;74;70;72;43;77;73;77;74;32;29;32;63;26;27;33;47;29;31;25;3;74;29;37;30;0;42;19;32;35;68;26;30;30;2;29;42;26;47;32;43;33;31;0;32;30;23;6;65;27;2;67;46;29;6;31;30;68;31;79;34;20;40;20;27;24;47;38;59;48;36;16;75;40;45;13;64;55;59;49;42;60;31;48;71;31;7;42;14;45;67;43;31;35;24;51;41;6;43;48;42;34;51;52;15;66;20;48;9
Iris-versicolor;36;52;34;31;37;39;36;34;30;30;37;33;51;54;53;46;43;37;37;39;32;39;50;34;30;50;35;35;35;31;30;36;40;43;30;35;37;30;53;34;38;34;34;38;36;53;37;33;37;34;24;23;26;53;20;17;27;11;19;15;31;39;42;21;19;20;42;0;23;14;29;50;24;18;16;40;21;76;20;7;16;7;13;25;42;26;24;19;36;51;15;42;49;12;13;36;15;16;50;13;65;28;62;34;62;69;22;41;36;53;16;30;58;39;34;39;55;58;51;55;43;10;28;25;42;57;25;49;36;56;39;35;37;25;29;66;45;35;48;37;42;36;28;45;46;57;56;36;42;51
Iris-versicolor;57;63;55;52;58;56;55;55;51;53;58;54;64;67;64;63;60;56;56;58;53;56;71;49;51;61;52;56;56;52;51;53;63;64;53;56;58;53;64;55;57;45;55;51;53;62;58;54;58;55;13;10;13;44;7;8;14;28;10;12;44;22;55;10;18;11;19;23;0;13;16;49;7;11;11;21;10;61;7;28;13;24;14;12;19;13;11;4;25;46;8;21;48;27;10;25;12;11;49;12;60;15;39;21;39;46;5;28;19;40;29;17;35;56;21;26;32;45;36;40;30;23;41;12;29;52;12;26;23;33;26;48;24;12;16;43;32;22;25;24;29;23;15;32;33;34;47;39;29;28
Iris-versicolor;44;56;42;39;45;43;42;42;38;40;45;41;57;60;57;50;47;43;43;45;40;43;58;36;38;54;39;43;43;39;38;40;50;51;40;43;45;40;57;42;44;36;42;38;40;55;45;41;45;42;18;17;20;39;14;11;21;17;13;5;37;29;48;15;9;14;32;14;13;0;23;40;14;12;10;30;15;62;14;15;2;13;3;19;32;20;18;9;26;37;7;32;37;18;7;26;9;10;36;7;55;22;52;28;52;59;12;35;26;47;28;24;48;43;28;33;45;52;43;41;37;22;40;19;36;47;19;39;30;46;33;47;31;19;21;56;39;29;38;31;36;30;22;39;40;47;42;44;36;41
Iris-versicolor;53;79;51;50;54;52;51;51;53;51;54;50;80;83;80;59;56;52;52;54;49;52;67;45;47;77;48;52;52;48;49;49;59;60;51;52;54;51;80;51;53;59;51;47;49;78;54;50;54;51;5;6;5;58;9;12;4;40;10;18;60;38;71;8;20;9;35;29;16;23;0;53;11;11;13;37;8;73;9;36;25;36;20;10;35;7;5;18;41;56;16;35;56;41;16;41;14;13;59;16;50;9;43;11;43;50;11;18;17;24;19;11;39;66;13;10;36;29;32;56;14;21;39;6;13;42;4;30;15;41;18;38;16;10;18;47;16;8;29;10;15;9;9;16;17;38;51;49;13;32
Iris-versicolor;28;46;24;25;29;33;26;28;22;26;31;29;47;44;43;36;29;27;33;31;30;29;22;26;32;48;27;29;27;27;26;26;36;35;26;23;27;26;45;28;26;24;24;26;34;45;33;25;31;26;48;47;50;5;44;41;51;45;43;37;69;65;18;45;33;44;68;50;49;40;53;0;50;44;40;66;45;30;44;45;40;49;37;51;68;50;48;45;62;3;43;68;3;46;39;64;39;40;6;37;19;54;88;58;88;95;48;65;62;77;62;56;84;15;58;63;81;82;77;9;67;56;74;51;66;11;49;75;60;82;63;81;61;49;55;92;69;59;74;61;66;60;54;69;70;83;10;84;66;77
Iris-versicolor;58;70;56;53;59;57;56;56;52;54;59;55;71;74;71;64;61;57;57;59;54;57;72;50;52;68;53;57;57;53;52;54;64;65;54;57;59;54;71;56;58;50;56;52;54;69;59;55;59;56;10;11;6;49;6;9;11;31;9;13;51;29;62;7;19;12;26;24;7;14;11;50;0;8;12;28;5;68;8;29;16;27;15;5;26;14;8;9;32;47;9;26;49;32;11;32;13;12;50;13;61;8;38;14;38;45;6;21;12;33;22;10;34;57;14;19;31;38;29;47;23;16;34;5;22;53;7;25;16;32;19;41;17;5;9;42;25;15;26;17;22;16;8;25;26;33;48;38;22;27
Iris-versicolor;50;68;48;45;51;49;48;48;44;46;51;47;69;72;69;56;53;49;49;51;46;49;64;42;44;66;45;49;49;45;44;46;56;57;46;49;51;46;69;48;50;48;48;44;46;67;51;47;51;48;6;9;8;49;4;3;9;29;3;11;49;33;60;3;13;8;30;18;11;12;11;44;8;0;6;30;3;72;6;25;14;25;9;9;30;12;6;9;32;47;5;28;45;30;7;30;7;6;48;7;59;12;46;16;46;53;10;23;20;35;18;14;42;55;16;21;39;40;35;51;25;12;30;9;24;51;7;33;18;40;21;37;19;7;13;50;27;17;32;19;24;18;12;27;28;41;52;40;24;35
Iris-versicolor;46;66;44;41;47;45;44;44;40;42;47;43;67;70;67;52;49;45;45;47;42;45;60;38;40;64;41;45;45;41;40;42;52;53;42;45;47;42;67;44;46;46;44;40;42;65;47;43;47;44;8;7;10;45;6;3;11;27;3;7;47;29;58;5;7;4;30;16;11;10;13;40;12;6;0;28;7;68;4;23;12;23;7;13;30;10;8;7;28;43;5;30;43;28;3;28;1;0;46;3;53;16;50;18;50;57;10;25;24;37;22;18;46;53;20;23;43;42;39;47;27;18;36;13;26;45;11;37;22;44;25;41;23;11;17;54;29;19;36;21;26;20;16;29;30;45;48;46;26;39
Iris-versicolor;74;42;72;69;75;73;72;72;68;70;75;71;43;46;45;80;77;73;73;75;70;73;88;66;68;40;69;73;73;69;68;70;80;81;70;73;75;70;43;72;74;62;72;68;70;41;75;71;75;72;32;31;34;61;28;27;35;45;29;29;23;3;72;29;35;28;2;40;21;30;37;66;28;30;28;0;29;42;28;45;30;41;31;33;2;34;32;21;4;63;25;2;65;44;27;4;29;28;66;29;79;36;22;42;22;29;26;49;40;61;48;38;18;73;42;47;15;66;57;59;51;42;60;33;50;71;33;9;44;16;47;67;45;33;35;26;53;43;8;45;50;44;36;53;54;17;66;20;50;11
